InsertCashTransaction;0;richy;100000;11/05/2015 8:45:18 PM
BuyTransaction;1;richy;34;1300;11/05/2015 9:53:15 PM
BuyTransaction;2;richy;34;1300;11/05/2015 9:53:15 PM
InsertCashTransaction;3;fvoldb14;10000;11/05/2015 9:54:32 PM
BuyTransaction;4;fvoldb14;1837;1200;11/05/2015 9:54:49 PM
InsertCashTransaction;5;tester;100000;12/05/2015 9:26:07 AM
BuyTransaction;6;tester;11;1200;12/05/2015 9:26:15 AM
BuyTransaction;7;tester;34;1300;12/05/2015 9:26:36 AM
BuyTransaction;8;tester;34;1300;12/05/2015 9:26:36 AM
BuyTransaction;9;tester;34;1300;12/05/2015 9:26:36 AM
BuyTransaction;10;tester;1836;5000;12/05/2015 9:27:05 AM
BuyTransaction;11;tester;1836;5000;12/05/2015 9:27:05 AM
BuyTransaction;12;tester;1836;5000;12/05/2015 9:27:05 AM
BuyTransaction;13;tester;1836;5000;12/05/2015 9:27:05 AM
BuyTransaction;14;tester;1836;5000;12/05/2015 9:27:05 AM
BuyTransaction;15;tester;1836;5000;12/05/2015 9:27:05 AM
BuyTransaction;16;tester;1836;5000;12/05/2015 9:27:05 AM
BuyTransaction;17;tester;1836;5000;12/05/2015 9:27:05 AM
BuyTransaction;18;tester;1836;5000;12/05/2015 9:27:05 AM
BuyTransaction;19;tester;1836;5000;12/05/2015 9:27:05 AM
BuyTransaction;20;tester;1836;5000;12/05/2015 9:27:05 AM
BuyTransaction;21;tester;1836;5000;12/05/2015 9:27:05 AM
BuyTransaction;22;tester;1836;5000;12/05/2015 9:27:05 AM
BuyTransaction;23;tester;1836;5000;12/05/2015 9:27:05 AM
BuyTransaction;24;tester;1836;5000;12/05/2015 9:27:05 AM
BuyTransaction;25;tester;1836;5000;12/05/2015 9:27:05 AM
BuyTransaction;26;tester;1836;5000;12/05/2015 9:27:05 AM
BuyTransaction;27;tester;1836;5000;12/05/2015 9:27:20 AM
BuyTransaction;28;tester;11;1200;12/05/2015 9:27:32 AM
BuyTransaction;29;tester;1;100;12/05/2015 9:28:25 AM
BuyTransaction;30;tester;11;1200;12/05/2015 9:30:02 AM
BuyTransaction;31;tester;11;1200;12/05/2015 9:30:04 AM
BuyTransaction;32;tester;11;1200;12/05/2015 9:30:05 AM
BuyTransaction;33;tester;11;1200;12/05/2015 9:30:07 AM
BuyTransaction;34;tester;11;1200;12/05/2015 9:30:09 AM
